site,LON_LAT short
CH1001,656_488
CH1002,657_488
CH1003,658_488
CH1104,658_488
CH1105,658_488
MA1105,666_487
MA1001,667_486
MA1002,667_487
MA1106,667_487
CA1003,668_484
MA1003,669_488
CA1002,670_484
CA1001,671_484
CA1104,671_484
CA1105,671_484
MA1104,671_487
