"plot_year"	"Browsing_percent_plot"	"old_browsing_plot"	"young_browsing_plot"	"no_browsing_plot"	"height_plot"	"growth"	"FAI"	"site"	"NPP_July2016"	"NPP_June2016"	"EffectiveMooseDensitykm2"	"year_site"	"mean.temp"	"summ.temp"	"wint.temp"	"rain.GP"	"rain.year"	"rain.wint"	"site_Treatment"	"territory"	"EX"	"build_year"	"sample_year"	"time"	"date"	"month"	"day"	"plot"	"species_cor"	"nom_lat"	"height"	"diam"	"arrow"	"stem_state"	"no_browsing"	"young_browsing"	"old_browsing"	"Browsing_percent"	"sampling_area_m2"	"missingpicnote"	"Site"	"LON..NAD83.MTM..Modified.Transverse.Mercator..zone.6."	"LAT..NAD83.MTM..Modified.Transverse.Mercator..zone.6."	"LON.E"	"LAT.N"	"browsingfactorial"
"136"	"101_2012"	0	"0"	"0"	"4"	25.1	2.53770431642956	1.08440615350973	"MA1002"	6.5	4.880000114	3.3	"2012_MA1002"	3.26657534246575	14.858606557377	-4.88324175824176	2.67459016393443	2.89424657534247	2.85879120879121	"MA1002_EX"	"Matane"	"EX"	2010	2012	"T2"	"17/06/2012"	6	17	101	"Abibal"	"Abies balsamea"	25	NA	"Unbrowsed"	"Live"	6	0	0	0	4	"ok"	"MA1002"	362382.0672	5401243.758	-66.71693371	48.74696297	"no"
"146"	"101_2013"	0	"0"	"0"	"11.6"	35.28	-0.169512665537534	2.99424775143122	"MA1002"	6.5	4.880000114	3.3	"2013_MA1002"	1.1413698630137	13.4831967213115	-8.075	2.59508196721311	2.78931506849315	2.93296703296703	"MA1002_EX"	"Matane"	"EX"	2010	2013	"T3"	NA	NA	NA	101	"Abibal"	"Abies balsamea"	48	13.14	"Unbrowsed"	"Live"	23	0	0	0	4	"ok"	"MA1002"	362382.0672	5401243.758	-66.71693371	48.74696297	"no"
"161"	"101_2014"	0	"0"	"0"	"10.72"	34.6	0.17321995611113	3.67899503110848	"MA1002"	6.5	4.880000114	3.3	"2014_MA1002"	1.49630136986301	14.7512295081967	-8.1478021978022	3.33770491803279	2.93260273972603	2.79615384615385	"MA1002_EX"	"Matane"	"EX"	2010	2014	"T4"	"31/05/2014"	5	31	101	"Abibal"	"Abies balsamea"	31	4.4	"Unbrowsed"	"Live"	2	0	0	0	4	"ok"	"MA1002"	362382.0672	5401243.758	-66.71693371	48.74696297	"no"
"186"	"101_2015"	NA	NA	NA	NA	35.2948717948718	0.593845629057186	3.68790301396464	"MA1002"	6.5	4.880000114	3.3	"2015_MA1002"	2.40450819672131	14.1860655737705	-5.79071038251366	3.00983606557377	2.48114754098361	2.37213114754098	"MA1002_EX"	"Matane"	"EX"	2010	2015	"T5"	"31/05/2015"	5	31	101	"Abibal"	"Abies balsamea"	12.5	NA	"Unbrowsed"	"Live"	NA	NA	NA	NA	4	"ok"	"MA1002"	362382.0672	5401243.758	-66.71693371	48.74696297	NA
"226"	"102_2011"	100	"1"	"0"	"0"	35.5	0	0.551883462432699	"MA1002"	6.5	4.880000114	3.3	"2011_MA1002"	3.19071038251366	13.9647540983607	-4.73469945355191	3.34262295081967	2.7051912568306	1.97540983606557	"MA1002_EX"	"Matane"	"EX"	2010	2011	"T1"	"08/07/2011"	7	8	102	"Abibal"	"Abies balsamea"	38	NA	"Browsed"	"Mutilate"	0	0	1	100	4	"ok"	"MA1002"	362382.0672	5401243.758	-66.71693371	48.74696297	"yes"
"228"	"102_2014"	0	"0"	"0"	"1.625"	21.75	0.405085413968372	2.91533814191937	"MA1002"	6.5	4.880000114	3.3	"2014_MA1002"	1.49630136986301	14.7512295081967	-8.1478021978022	3.33770491803279	2.93260273972603	2.79615384615385	"MA1002_EX"	"Matane"	"EX"	2010	2014	"T4"	"31/05/2014"	5	31	102	"Abibal"	"Abies balsamea"	14	2.5	"Unbrowsed"	"Live"	1	0	0	0	4	"ok"	"MA1002"	362382.0672	5401243.758	-66.71693371	48.74696297	"no"
"244"	"102_2015"	NA	NA	NA	NA	23.375	0.95159117955884	2.07291533383148	"MA1002"	6.5	4.880000114	3.3	"2015_MA1002"	2.40450819672131	14.1860655737705	-5.79071038251366	3.00983606557377	2.48114754098361	2.37213114754098	"MA1002_EX"	"Matane"	"EX"	2010	2015	"T5"	"31/05/2015"	5	31	102	"Abibal"	"Abies balsamea"	13	NA	"Unbrowsed"	"Live"	NA	NA	NA	NA	4	"ok"	"MA1002"	362382.0672	5401243.758	-66.71693371	48.74696297	NA
"263"	"103_2011"	25	"1"	"0"	"3"	31	-0.332377775563792	0.284008079388777	"MA1002"	6.5	4.880000114	3.3	"2011_MA1002"	3.19071038251366	13.9647540983607	-4.73469945355191	3.34262295081967	2.7051912568306	1.97540983606557	"MA1002_EX"	"Matane"	"EX"	2010	2011	"T1"	"08/07/2011"	7	8	103	"Abibal"	"Abies balsamea"	31	NA	"Browsed"	"Live"	3	0	1	25	4	"ok"	"MA1002"	362382.0672	5401243.758	-66.71693371	48.74696297	"yes"
"264"	"103_2012"	0	"0"	"0"	"16"	29.6666666666667	1.91117220949181	0.567196555420517	"MA1002"	6.5	4.880000114	3.3	"2012_MA1002"	3.26657534246575	14.858606557377	-4.88324175824176	2.67459016393443	2.89424657534247	2.85879120879121	"MA1002_EX"	"Matane"	"EX"	2010	2012	"T2"	"17/06/2012"	6	17	103	"Abibal"	"Abies balsamea"	17	NA	"Unbrowsed"	"Live"	3	0	0	0	4	"ok"	"MA1002"	362382.0672	5401243.758	-66.71693371	48.74696297	"no"
"267"	"103_2013"	0	"0"	"0"	"20.1666666666667"	37.3333333333333	-0.0830944438909488	1.28586372571838	"MA1002"	6.5	4.880000114	3.3	"2013_MA1002"	1.1413698630137	13.4831967213115	-8.075	2.59508196721311	2.78931506849315	2.93296703296703	"MA1002_EX"	"Matane"	"EX"	2010	2013	"T3"	NA	NA	NA	103	"Abibal"	"Abies balsamea"	32.5	9.72	"Unbrowsed"	"Live"	14	0	0	0	4	"ok"	"MA1002"	362382.0672	5401243.758	-66.71693371	48.74696297	"no"
"273"	"103_2014"	0	"0"	"0"	"12.3157894736842"	37	-1.88309976223135	2.3650947881924	"MA1002"	6.5	4.880000114	3.3	"2014_MA1002"	1.49630136986301	14.7512295081967	-8.1478021978022	3.33770491803279	2.93260273972603	2.79615384615385	"MA1002_EX"	"Matane"	"EX"	2010	2014	"T4"	"31/05/2014"	5	31	103	"Abibal"	"Abies balsamea"	21	4	"Unbrowsed"	"Live"	1	0	0	0	4	"ok"	"MA1002"	362382.0672	5401243.758	-66.71693371	48.74696297	"no"
"292"	"103_2015"	NA	NA	NA	NA	29.4459459459459	1.14700841493324	3.27592552583088	"MA1002"	6.5	4.880000114	3.3	"2015_MA1002"	2.40450819672131	14.1860655737705	-5.79071038251366	3.00983606557377	2.48114754098361	2.37213114754098	"MA1002_EX"	"Matane"	"EX"	2010	2015	"T5"	"31/05/2015"	5	31	103	"Abibal"	"Abies balsamea"	77	NA	"Unbrowsed"	"Live"	NA	NA	NA	NA	4	"ok"	"MA1002"	362382.0672	5401243.758	-66.71693371	48.74696297	NA
"333"	"104_2011"	0	"0"	"0"	"5"	37.3333333333333	-2.55425094916958	0.603256747737529	"MA1002"	6.5	4.880000114	3.3	"2011_MA1002"	3.19071038251366	13.9647540983607	-4.73469945355191	3.34262295081967	2.7051912568306	1.97540983606557	"MA1002_EX"	"Matane"	"EX"	2010	2011	"T1"	"08/07/2011"	7	8	104	"Abibal"	"Abies balsamea"	37	NA	"Unbrowsed"	"Live"	5	0	0	0	4	"ok"	"MA1002"	362382.0672	5401243.758	-66.71693371	48.74696297	"no"
"336"	"104_2012"	2.84057971	"0.608695652173913"	"0"	"9.39130434782609"	27.0869565217391	1.82961851935587	1.91190562798529	"MA1002"	6.5	4.880000114	3.3	"2012_MA1002"	3.26657534246575	14.858606557377	-4.88324175824176	2.67459016393443	2.89424657534247	2.85879120879121	"MA1002_EX"	"Matane"	"EX"	2010	2012	"T2"	"17/06/2012"	6	17	104	"Abibal"	"Abies balsamea"	39	NA	"Unbrowsed"	"Live"	23	0	0	0	4	"ok"	"MA1002"	362382.0672	5401243.758	-66.71693371	48.74696297	"no"
"359"	"104_2013"	0	"0"	"0"	"15.7058823529412"	34.4264705882353	3.13437130265121	2.50206954977082	"MA1002"	6.5	4.880000114	3.3	"2013_MA1002"	1.1413698630137	13.4831967213115	-8.075	2.59508196721311	2.78931506849315	2.93296703296703	"MA1002_EX"	"Matane"	"EX"	2010	2013	"T3"	NA	NA	NA	104	"Abibal"	"Abies balsamea"	44	10.5	"Unbrowsed"	"Live"	18	0	0	0	4	"ok"	"MA1002"	362382.0672	5401243.758	-66.71693371	48.74696297	"no"
"393"	"104_2014"	0	"0"	"0"	"17.4186046511628"	47	-0.432091108232931	3.27407954721607	"MA1002"	6.5	4.880000114	3.3	"2014_MA1002"	1.49630136986301	14.7512295081967	-8.1478021978022	3.33770491803279	2.93260273972603	2.79615384615385	"MA1002_EX"	"Matane"	"EX"	2010	2014	"T4"	"31/05/2014"	5	31	104	"Abibal"	"Abies balsamea"	81	20.1	"Unbrowsed"	"Live"	44	0	0	0	4	"ok"	"MA1002"	362382.0672	5401243.758	-66.71693371	48.74696297	"no"
"436"	"104_2015"	NA	NA	NA	NA	45.2666666666667	2.83533822764145	3.03995550624431	"MA1002"	6.5	4.880000114	3.3	"2015_MA1002"	2.40450819672131	14.1860655737705	-5.79071038251366	3.00983606557377	2.48114754098361	2.37213114754098	"MA1002_EX"	"Matane"	"EX"	2010	2015	"T5"	"31/05/2015"	5	31	104	"Abibal"	"Abies balsamea"	63	NA	"Unbrowsed"	"Live"	NA	NA	NA	NA	4	"ok"	"MA1002"	362382.0672	5401243.758	-66.71693371	48.74696297	NA
"482"	"105_2011"	0	"0"	"0"	"4"	31	1.49569999003707	0.284008079388777	"MA1002"	6.5	4.880000114	3.3	"2011_MA1002"	3.19071038251366	13.9647540983607	-4.73469945355191	3.34262295081967	2.7051912568306	1.97540983606557	"MA1002_EX"	"Matane"	"EX"	2010	2011	"T1"	"08/07/2011"	7	8	105	"Abibal"	"Abies balsamea"	31	NA	"Unbrowsed"	"Live"	4	0	0	0	4	"ok"	"MA1002"	362382.0672	5401243.758	-66.71693371	48.74696297	"no"
"483"	"105_2012"	0	"0"	"0"	"16"	37	2.74211664840129	0.852798403037662	"MA1002"	6.5	4.880000114	3.3	"2012_MA1002"	3.26657534246575	14.858606557377	-4.88324175824176	2.67459016393443	2.89424657534247	2.85879120879121	"MA1002_EX"	"Matane"	"EX"	2010	2012	"T2"	"17/06/2012"	6	17	105	"Abibal"	"Abies balsamea"	37	NA	"Unbrowsed"	"Live"	16	0	0	0	4	"ok"	"MA1002"	362382.0672	5401243.758	-66.71693371	48.74696297	"no"
"484"	"105_2013"	0	"0"	"0"	"24"	48	-3.98853330676551	1.63868513450515	"MA1002"	6.5	4.880000114	3.3	"2013_MA1002"	1.1413698630137	13.4831967213115	-8.075	2.59508196721311	2.78931506849315	2.93296703296703	"MA1002_EX"	"Matane"	"EX"	2010	2013	"T3"	NA	NA	NA	105	"Abibal"	"Abies balsamea"	48	13.64	"Unbrowsed"	"Live"	24	0	0	0	4	"ok"	"MA1002"	362382.0672	5401243.758	-66.71693371	48.74696297	"no"
"485"	"105_2014"	0	"0"	"0"	"15.8"	32	-0.0453242421223358	1.82802385409767	"MA1002"	6.5	4.880000114	3.3	"2014_MA1002"	1.49630136986301	14.7512295081967	-8.1478021978022	3.33770491803279	2.93260273972603	2.79615384615385	"MA1002_EX"	"Matane"	"EX"	2010	2014	"T4"	"31/05/2014"	5	31	105	"Abibal"	"Abies balsamea"	14	3	"Unbrowsed"	"Live"	1	0	0	0	4	"ok"	"MA1002"	362382.0672	5401243.758	-66.71693371	48.74696297	"no"
"490"	"105_2015"	NA	NA	NA	NA	31.8181818181818	1.19380816304365	1.73296741186574	"MA1002"	6.5	4.880000114	3.3	"2015_MA1002"	2.40450819672131	14.1860655737705	-5.79071038251366	3.00983606557377	2.48114754098361	2.37213114754098	"MA1002_EX"	"Matane"	"EX"	2010	2015	"T5"	"31/05/2015"	5	31	105	"Abibal"	"Abies balsamea"	29	NA	"Unbrowsed"	"Live"	NA	NA	NA	NA	4	"ok"	"MA1002"	362382.0672	5401243.758	-66.71693371	48.74696297	NA
"503"	"106_2011"	33.3333333333333	"1.33333333333333"	"0"	"1.33333333333333"	33.3333333333333	-2.37650109528112	0.85202423816633	"MA1002"	6.5	4.880000114	3.3	"2011_MA1002"	3.19071038251366	13.9647540983607	-4.73469945355191	3.34262295081967	2.7051912568306	1.97540983606557	"MA1002_EX"	"Matane"	"EX"	2010	2011	"T1"	"08/07/2011"	7	8	106	"Abibal"	"Abies balsamea"	31	NA	"Browsed"	"Live"	1	0	0	0	4	"ok"	"MA1002"	362382.0672	5401243.758	-66.71693371	48.74696297	"no"
"506"	"106_2012"	20	"0.4"	"0"	"2"	23.8	1.45207540699432	0.975400340009555	"MA1002"	6.5	4.880000114	3.3	"2012_MA1002"	3.26657534246575	14.858606557377	-4.88324175824176	2.67459016393443	2.89424657534247	2.85879120879121	"MA1002_EX"	"Matane"	"EX"	2010	2012	"T2"	"17/06/2012"	6	17	106	"Abibal"	"Abies balsamea"	29	NA	"Browsed"	"Live"	1	0	1	50	4	"ok"	"MA1002"	362382.0672	5401243.758	-66.71693371	48.74696297	"yes"
"511"	"106_2013"	0	"0"	"0"	"7"	29.625	1.19745028964277	2.15101102788098	"MA1002"	6.5	4.880000114	3.3	"2013_MA1002"	1.1413698630137	13.4831967213115	-8.075	2.59508196721311	2.78931506849315	2.93296703296703	"MA1002_EX"	"Matane"	"EX"	2010	2013	"T3"	NA	NA	NA	106	"Abibal"	"Abies balsamea"	33	7.2	"Unbrowsed"	"Live"	9	0	0	0	4	"ok"	"MA1002"	362382.0672	5401243.758	-66.71693371	48.74696297	"no"
"515"	"106_2014"	0	"0"	"0"	"10.2857142857143"	34.4285714285714	-1.80649479316165	4.47130100513345	"MA1002"	6.5	4.880000114	3.3	"2014_MA1002"	1.49630136986301	14.7512295081967	-8.1478021978022	3.33770491803279	2.93260273972603	2.79615384615385	"MA1002_EX"	"Matane"	"EX"	2010	2014	"T4"	"31/05/2014"	5	31	106	"Abibal"	"Abies balsamea"	50	12	"Unbrowsed"	"Live"	11	0	0	0	4	"ok"	"MA1002"	362382.0672	5401243.758	-66.71693371	48.74696297	"no"
"522"	"106_2015"	NA	NA	NA	NA	27.1818181818182	3.70525679350092	2.5510290617258	"MA1002"	6.5	4.880000114	3.3	"2015_MA1002"	2.40450819672131	14.1860655737705	-5.79071038251366	3.00983606557377	2.48114754098361	2.37213114754098	"MA1002_EX"	"Matane"	"EX"	2010	2015	"T5"	"31/05/2015"	5	31	106	"Abibal"	"Abies balsamea"	8.5	NA	"Unbrowsed"	"Live"	NA	NA	NA	NA	4	"ok"	"MA1002"	362382.0672	5401243.758	-66.71693371	48.74696297	NA
"534"	"107_2013"	0	"0"	"0"	"2.66666666666667"	21.8	2.00257609777185	1.58156063917356	"MA1002"	6.5	4.880000114	3.3	"2013_MA1002"	1.1413698630137	13.4831967213115	-8.075	2.59508196721311	2.78931506849315	2.93296703296703	"MA1002_EX"	"Matane"	"EX"	2010	2013	"T3"	NA	NA	NA	107	"Abibal"	"Abies balsamea"	18.4	4.08	"Unbrowsed"	"Live"	1	0	0	0	4	"ok"	"MA1002"	362382.0672	5401243.758	-66.71693371	48.74696297	"no"
"537"	"107_2014"	0	"0"	"0"	"3.66666666666667"	29.8333333333333	0.185364528679808	1.92582912317047	"MA1002"	6.5	4.880000114	3.3	"2014_MA1002"	1.49630136986301	14.7512295081967	-8.1478021978022	3.33770491803279	2.93260273972603	2.79615384615385	"MA1002_EX"	"Matane"	"EX"	2010	2014	"T4"	"31/05/2014"	5	31	107	"Abibal"	"Abies balsamea"	36	6.9	"Unbrowsed"	"Live"	3	0	0	0	4	"ok"	"MA1002"	362382.0672	5401243.758	-66.71693371	48.74696297	"no"
