"year_site"	"mean.temp"	"summ.temp"	"wint.temp"	"rain.GP"	"rain.year"	"rain.wint"
"1"	"2009_CA1001"	3.65753424657534	14.0172131147541	-4.13791208791209	2.24508196721311	2.53506849315069	2.45659340659341
"2"	"2009_CA1002"	4.57342465753425	14.8668032786885	-3.22115384615385	2.3983606557377	2.42	2.16263736263736
"3"	"2009_CA1003"	4.33438356164384	14.5188524590164	-3.36868131868132	2.38770491803279	2.56493150684932	2.41318681318681
"4"	"2009_CA1104"	3.65753424657534	14.0172131147541	-4.13791208791209	2.24508196721311	2.53506849315069	2.45659340659341
"5"	"2009_CA1105"	3.65753424657534	14.0172131147541	-4.13791208791209	2.24508196721311	2.53506849315069	2.45659340659341
"6"	"2009_CH1001"	2.97397260273973	12.8184426229508	-4.3456043956044	2.17213114754098	2.36630136986301	2.41923076923077
"7"	"2009_CH1002"	3.29575342465753	13.1823770491803	-4.05989010989011	2.22213114754098	2.37643835616438	2.36868131868132
"8"	"2009_CH1003"	3.55315068493151	13.4754098360656	-3.82857142857143	2.19262295081967	2.39616438356164	2.36483516483516
"9"	"2009_CH1104"	3.55315068493151	13.4754098360656	-3.82857142857143	2.19262295081967	2.39616438356164	2.36483516483516
"10"	"2009_CH1105"	3.55315068493151	13.4754098360656	-3.82857142857143	2.19262295081967	2.39616438356164	2.36483516483516
"11"	"2009_MA1001"	4.19602739726027	14.3512295081967	-3.48296703296703	2.40163934426229	2.57315068493151	2.42582417582418
"12"	"2009_MA1002"	3.93616438356164	13.9061475409836	-3.58434065934066	2.34344262295082	2.85561643835616	2.89505494505494
"13"	"2009_MA1003"	3.41397260273973	13.3040983606557	-4.0032967032967	2.23688524590164	2.59095890410959	2.5521978021978
"14"	"2009_MA1104"	3.65753424657534	14.0172131147541	-4.13791208791209	2.24508196721311	2.53506849315069	2.45659340659341
"15"	"2009_MA1105"	4.02041095890411	13.9553278688525	-3.45302197802198	2.32622950819672	2.87123287671233	2.93241758241758
"16"	"2009_MA1106"	3.93616438356164	13.9061475409836	-3.58434065934066	2.34344262295082	2.85561643835616	2.89505494505494
"17"	"2010_CA1001"	2.47013698630137	14.1893442622951	-5.73351648351648	3.81311475409836	3.14328767123288	2.54725274725275
"18"	"2010_CA1002"	3.47931506849315	15.205737704918	-4.71153846153846	3.58196721311475	3.24054794520548	2.73351648351648
"19"	"2010_CA1003"	3.13191780821918	14.8233606557377	-5.02472527472527	3.89344262295082	3.15123287671233	2.50384615384615
"20"	"2010_CA1104"	2.47013698630137	14.1893442622951	-5.73351648351648	3.81311475409836	3.14328767123288	2.54725274725275
